Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral,Time,M,O,S
1.cpp,0,1,0,5,3,4,0,1,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,3,2,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0.0017050220922316,3.0,n2,n
10.cpp,0,2,0,6,4,4,0,1,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,3,0,0,1,0,0,3,2,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0.0015275703723309,60.27,n,1
100.cpp,0,2,0,12,5,4,0,1,3,0,0,0,0,0,0,0,8,0,0,1,0,0,0,7,0,0,1,0,0,5,3,0,0,23,1,1,0,0,0,0,0,0,0,0,0,0.0016508890976614,3.0,n2,n
11.cpp,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0014483470541939,7.79,1,1
12.cpp,0,1,0,1,4,4,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,4,1,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0016547553193179,12.72,n,1
13.cpp,0,7,0,4,5,6,0,1,1,1,0,2,0,0,0,0,2,0,0,3,0,0,0,3,0,0,3,1,0,5,4,0,1,10,6,1,0,0,0,0,0,0,0,0,0,0.0016449762091526,11.11,n2,1
14.cpp,0,5,0,20,6,8,0,1,2,1,0,4,0,0,0,0,12,0,0,1,0,0,0,7,0,0,1,1,2,6,4,0,0,33,4,1,0,0,0,0,0,0,0,0,0,0.0017530327241989,26.82,n2,logn
15.cpp,0,6,1,26,9,11,0,1,1,3,0,4,0,0,0,0,9,0,0,3,0,0,1,7,0,0,2,0,1,8,3,0,0,47,3,1,0,0,0,0,0,0,0,0,0,0.0016802133293275,12.91,n2,logn
16.cpp,0,6,0,57,7,16,0,1,2,3,0,9,0,0,0,0,32,0,0,2,0,0,0,23,0,0,2,2,4,6,8,0,0,67,5,1,0,0,0,0,0,0,0,0,0,0.0020200451892224,15.78,n3,logn
17.cpp,0,2,0,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0.0015704146121314,8.01,n,n
